用户,地区,评论,日期
花叔1974,浙江,,Sun Feb 26 13:03:24 +0800 2023
sir不是浪,北京,因为便宜吧,Sun Feb 26 13:03:24 +0800 2023
时光无余,辽宁,在新能源市场，属于杂牌，日系属于山寨,Sun Feb 26 13:16:17 +0800 2023
淡墨丶痕,浙江,竟然还有，期待今年把他干到位数,Sun Feb 26 13:04:00 +0800 2023
洪琦-野生自驾,江西,汉兰达你直接点我名吧吃瓜,Sun Feb 26 13:29:26 +0800 2023
糖炒,北京,上代汉兰达，给了丰田无比的自信，甭管我这车什么可怜的配置，你们还是加着价的抢，多万，搞的除了最顶配，剩下就给卤素灯，没想到，年的功夫，日系三品牌突然就跌下神坛了，好事，理性说，买燃油车的人也很多，买日系品牌也可以，但至少让它回归本身正常价格,Sun Feb 26 14:18:09 +0800 2023
取个名字总是不通过1w3321,浙江,，你读我名字好了,Sun Feb 26 13:03:24 +0800 2023
绿酸橙,甘肃,从理想的车里进到汉兰达就是从样板间进到了毛坯的感觉,Sun Feb 26 13:24:28 +0800 2023
梦羽梦羽,内蒙古,汉兰达,Sun Feb 26 13:07:15 +0800 2023
treenewbee_大头儿,江苏,竟然还有多销量，这多人怎么想的太开心,Sun Feb 26 13:10:34 +0800 2023
ImOJjo,广东,去年飞度置换海豚，今年奥德赛置换。年那会增购奥德赛的时候曾经考虑过汉兰达然而一坐进去第三排就放弃了。还有年买飞度的时候你要告诉我买我是绝对不考虑的，但现在是真香。二哈,Sun Feb 26 13:39:23 +0800 2023
尽在杯中v,江苏,呀这么明显,Sun Feb 26 13:09:27 +0800 2023
木子李所長,四川,首先排除汉兰达,Sun Feb 26 17:34:00 +0800 2023
龙哥640,湖北,不加价当然没人买摊手,Sun Feb 26 13:36:59 +0800 2023
刘大壮的日常202212,重庆,一月情况太特殊了，太多车大幅波动，等几个月再看吧。。。全年销量，陆放，至少还看不出来什么问题,Sun Feb 26 13:37:34 +0800 2023
WonnThinG,浙江,不是汉兰达就是途观,Sun Feb 26 13:09:54 +0800 2023
kk_au,广东,我买也不会买它，剩下的钱够加此车生命周期的油了,Sun Feb 26 13:13:55 +0800 2023
春卷,上海,确实变天了。当年怎么会想到我会看不上而是花同样的价钱去买了国产车,Sun Feb 26 18:36:11 +0800 2023
赛普健身学院摄影师丁键,北京,这家粉丝倒是很自信，说他们在外面三年变化很多国内只能仰望星空笑而不语,Sun Feb 26 13:21:15 +0800 2023
元何元,北京,没办法，作的结果,Sun Feb 26 14:03:04 +0800 2023
