发布时间,发布地点,微博内容,转发次数,评论条数,点赞次数
2023-05-11  15:29:53,英国,不装了，摊牌了，这次师兄排面直接拉到满，捡起了多年不说的英语，咱们全英文对话宝马集团董事长齐普策。还坐进了全球唯一的概念车车内，来揭秘宝马下一代电动车有什么黑科技！ http://t.cn/A6NnYsEl  http://t.cn/A6NnT8zJ ,612,517,791
2023-03-31  20:00:01,北京,大家好！从今天起，我单干了。  为什么辞职？和公司有没有矛盾？账号的去留？有什么遗憾？  这些问题视频里都说的很清楚。感谢大家一直以来的支持，我爱你们！ http://t.cn/A6NPqSrW  http://t.cn/A6NhJjnE ,1304,1923,7484
2023-07-15  17:35:49,北京,28度多云微风，在怀柔找了个网红咖啡，摸一下午鱼。开心[嘻嘻]  ,3,14,50
2023-07-15  17:27:41,北京,你好，我的755MAX银色＋20寸轮圈什么时候能生产？另外蹲一个图2姑娘的id。,3,10,19
2023-07-15  17:54:22, ,来南通拿了两台超跑，同样400附近！ 你会选择哪一个？ 明天到厦门！  ,1,15,11
2023-07-15  10:19:29,北京,借了一台试驾车，当几天尊贵的蔚来车主[嘻嘻] ,4,47,128
2023-07-14  23:15:21,北京,我又没进步，志斌太猛了[笑cry]//@亢岳:我又进步了[吃瓜],1,39,136
2023-07-14  22:25:19,北京,用M2置换要加多少个达不溜？,1,9,37
2023-07-14  16:17:21,北京,公司附近有家川菜馆 鱼香肉丝长这样 嘎嘎好吃😋 ,1,26,36
2023-07-14  16:14:25,北京,H5叫我去拍了，时间冲突我就没去成，这么一看，这就是中国的萨博班啊//@韩路:这车后备厢真是大啊,5,15,64
2023-07-14  14:40:12,北京,#公摊面积为何不能取消# 我实在很难接受大公摊这件事，于是这次买房子选择也是10年前盖好的楼，以前有各种赠送，滩出去的都能送回来。而现在的深圳新房80％算卖点，70％多算正常，甚至有更低的。1000多万花出去，娃睡飘窗的人家一大把[生病] ,1,117,256
2023-07-14  11:53:50,北京,五菱：？？？ ,10,42,163
2023-07-14  10:57:21,北京,终于是能提车了，远处那个带蝴蝶结的就是我的了！ ,2,68,136
2023-07-13  22:30:33,北京,初创野鸡自媒体公司养家糊口不容易，没交过路费，夹总分分钟教做人[笑cry]  夹归夹，虽然是广子，但是这枕头我家是去年8月买的，用了快一年，没变形依旧睡得很香才敢推的。 ,7,122,519
2023-07-13  22:27:46,北京,线上线下跟我说27号去长春看空军开放日的朋友已经不下十个了，我感觉我可以买个小扬声器开个小团，我司就又可以有新的营收模式了[笑cry][笑cry][笑cry]  解说词我都想好了：迎面飞来的是歼-20四机编队，这是人类历史上第一次同时四架五代隐身战斗机向公众表演，这实锤了歼-20其实并不能隐身，我们得正 ,7,49,92
2023-07-13  21:42:34,北京,刚发现小区健身房才600一个月，各种器械＋球类＋泳池，而且还没人，于是开启了第108次减肥计划[笑cry] ,5,117,262
2023-07-13  18:36:09,北京,来了，准备了很久的活。是广，但也是用了很久觉得舒服才做分享，现在国货产 品真的越来越好了。  董事长这三个月忙到起飞，创业期间每天能分给睡觉的时间少之又少，这时咱讲究的是效率，睡一分钟是一分钟，睡眠质量很重要。  首先先说个被打脸的事。这个枕头我媳妇之前看其他大V推荐过，当时我还觉得风 ,2,67,134
2023-07-13  18:22:54,北京,这个月我司终于开张了，刚接了个广子，初创公司不容易，一会儿大家忍一下[笑cry][笑cry][笑cry] ,2,64,286
2023-07-13  15:23:51,北京,全景天窗＋物理遮阳帘（白车）和全景天窗＋没遮阳帘（绿车）的对比。绿车天窗很明显有一层镀膜，用于隔绝绝大部分紫外线，但是不能隔热，只能部分隔光，所以我一直说这种天窗不晒，但是热且亮。 ,4,71,122
2023-07-13  13:51:44,北京,明天就要去看看车了，也不知道改的咋样了，会不会翻车 ,6,61,118
2023-07-12  21:38:06,上海,早上6点起来，在上海38度气温里蒸了一天，晚上到机场，飞机已经延误了一个多小时，因为航路天气不好，北京也在下雨，所以起飞时间还不确定。但是乘务长刚才来跟我说，可以确定的是：  到北京是远机位[笑cry][笑cry][笑cry][笑cry]  ,2,25,80
2023-07-12  21:32:20,上海,不叫我去吃好吃的，生气 ,4,15,60
2023-07-12  18:22:44,上海,抽奖啦！转发原博，7月15日抽一个米其林原厂旅行套包3件套→ http://t.cn/A60wHk6t,98,15,56
2023-07-12  17:57:36,北京,今天新租的房子报装@中国联通 1000兆宽带，师傅来装好之后，说光猫可以直接上网，但在弱电箱里影响信号，如果要保证信号需要在家里一二楼分别装路由器，这也不稀奇。 但他说：如果你没有路由器，我这里有，410包调试。如果你有，我给你调试安装，一个150，你也可以自己弄，你会吗[求饶][求饶][求饶] 我 ,11,191,390
2023-07-12  17:29:11,上海,拜访@亢岳 的新店，让国王给我的M2估个价，顺便看看他到底有多少台RS 6没卖出去[笑cry][笑cry][笑cry] http://t.cn/A60wOUAt  http://t.cn/A60wHuIJ ,823,199,588
2023-07-12  14:48:39,上海,956E型重炮护卫舰137福州舰 ,2,8,44
2023-07-12  14:37:22,上海,董事长36w落地的i3真是没白买，今天白嫖了一台跑了上赛全赛道4个飞行圈。开自己同款车跑上赛还是第一次，算是为明年各位F1车手探了探道[笑cry]  ,6,34,179
2023-07-12  13:24:31,上海,这条的评论里，大量的朋友说上海不算南方而算北方。我→[哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊],1,70,69
